known,known_for_real,prediction,label,accuracy,ood,confusion
False,False,0,can,-1.0,1.0,-1.0
False,False,0,marker,-1.0,1.0,-1.0
False,False,0,scissors,-1.0,1.0,-1.0
False,False,0,ball,-1.0,1.0,-1.0
False,False,4,mug,-1.0,1.0,-1.0
True,True,3,scissors,1.0,1.0,0.0
True,True,2,marker,1.0,1.0,0.0
True,True,2,marker,1.0,1.0,0.0
True,True,3,scissors,1.0,1.0,0.0
True,True,3,scissors,1.0,1.0,0.0
True,True,1,can,1.0,1.0,0.0
True,True,0,glasses,1.0,1.0,0.0
False,False,0,phone,1.0,1.0,0.0
True,False,3,bulb,1.0,0.875,0.0
True,True,1,can,1.0,0.875,0.0
True,True,0,glasses,1.0,0.875,0.0
True,True,2,marker,1.0,0.875,0.0
True,False,5,socket,1.0,0.7777777777777778,0.0
True,True,3,scissors,1.0,0.7777777777777778,0.0
True,True,4,ball,1.0,0.7777777777777778,0.0
True,True,2,marker,1.0,0.7777777777777778,0.0
True,True,7,bulb,1.0,0.7777777777777778,0.0
True,True,2,marker,1.0,0.7777777777777778,0.0
True,True,0,glasses,1.0,0.7777777777777778,0.0
True,True,7,bulb,1.0,0.7777777777777778,0.0
True,True,2,marker,1.0,0.7777777777777778,0.0
True,True,7,bulb,1.0,0.7777777777777778,0.0
True,True,1,can,1.0,0.7777777777777778,0.0
True,True,0,glasses,1.0,0.7777777777777778,0.0
True,True,1,can,1.0,0.7777777777777778,0.0
True,True,1,can,1.0,0.7777777777777778,0.0
True,True,1,can,1.0,0.7777777777777778,0.0
True,True,3,scissors,1.0,0.7777777777777778,0.0
True,True,4,ball,1.0,0.7777777777777778,0.0
True,True,3,scissors,1.0,0.7777777777777778,0.0
True,True,5,mug,1.0,0.7777777777777778,0.0
True,True,2,marker,1.0,0.7777777777777778,0.0
True,True,3,scissors,1.0,0.7777777777777778,0.0
True,True,2,marker,1.0,0.7777777777777778,0.0
True,True,7,socket,0.96875,0.7777777777777778,0.0
True,True,7,bulb,0.9696969696969697,0.7777777777777778,0.0
True,True,3,scissors,0.9705882352941176,0.7777777777777778,0.0
True,True,5,mug,0.9714285714285714,0.7777777777777778,0.0
