known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,4,-1.0,1.0,-1.0,-1.0
False,False,1,1,-1.0,1.0,-1.0,-1.0
False,False,0,8,-1.0,1.0,-1.0,-1.0
False,False,1,6,-1.0,1.0,-1.0,-1.0
False,True,0,0,1.0,1.0,1.0,1.0
True,True,4,6,1.0,1.0,0.5,1.0
True,True,0,0,1.0,1.0,0.3333333333333333,1.0
False,True,1,4,1.0,1.0,0.5,1.0
True,True,1,4,1.0,1.0,0.4,1.0
True,True,3,8,1.0,1.0,0.3333333333333333,1.0
False,False,2,9,1.0,1.0,0.3333333333333333,1.0
False,False,0,7,1.0,1.0,0.3333333333333333,1.0
True,True,1,4,1.0,1.0,0.2857142857142857,1.0
False,False,3,5,1.0,1.0,0.2857142857142857,1.0
False,False,1,2,1.0,1.0,0.2857142857142857,1.0
True,True,2,1,1.0,1.0,0.25,1.0
False,True,4,6,1.0,1.0,0.3333333333333333,1.0
True,True,8,2,1.0,1.0,0.3,1.0
False,True,4,5,0.9090909090909091,1.0,0.36363636363636365,0.9090909090909091
True,True,5,9,0.9166666666666666,1.0,0.3333333333333333,0.9166666666666666
True,True,3,8,0.9230769230769231,1.0,0.3076923076923077,0.9230769230769231
True,True,7,5,0.9285714285714286,1.0,0.2857142857142857,0.9285714285714286
False,True,0,0,0.9333333333333333,1.0,0.3333333333333333,0.9333333333333333
True,True,0,0,0.9375,1.0,0.3125,0.9375
True,True,0,0,0.9411764705882353,1.0,0.29411764705882354,0.9411764705882353
True,True,0,0,0.9444444444444444,1.0,0.2777777777777778,0.9444444444444444
True,False,7,3,0.9444444444444444,0.9,0.2777777777777778,0.9444444444444444
True,True,5,9,0.9473684210526315,0.9,0.2631578947368421,0.9473684210526315
True,True,3,8,0.95,0.9,0.25,0.95
True,True,0,0,0.9523809523809523,0.9,0.23809523809523808,0.9523809523809523
True,True,4,6,0.9545454545454546,0.9,0.22727272727272727,0.9545454545454546
True,True,0,3,0.9130434782608695,0.9,0.21739130434782608,0.9130434782608695
True,True,2,1,0.9166666666666666,0.9,0.20833333333333334,0.9166666666666666
True,True,7,5,0.92,0.9,0.2,0.92
True,True,8,2,0.9230769230769231,0.9,0.19230769230769232,0.9230769230769231
True,True,1,4,0.9259259259259259,0.9,0.18518518518518517,0.9259259259259259
True,True,9,3,0.9285714285714286,0.9,0.17857142857142858,0.9285714285714286
True,True,3,8,0.9310344827586207,0.9,0.1724137931034483,0.9310344827586207
True,True,4,6,0.9333333333333333,0.9,0.16666666666666666,0.9333333333333333
True,True,9,3,0.9354838709677419,0.9,0.16129032258064516,0.9354838709677419
True,True,4,6,0.9375,0.9,0.15625,0.9375
True,True,4,6,0.9393939393939394,0.9,0.15151515151515152,0.9393939393939394
True,True,6,7,0.9411764705882353,0.9,0.14705882352941177,0.9411764705882353
True,True,7,5,0.9428571428571428,0.9,0.14285714285714285,0.9428571428571428
True,True,5,9,0.9444444444444444,0.9,0.1388888888888889,0.9444444444444444
True,True,2,1,0.9459459459459459,0.9,0.13513513513513514,0.9459459459459459
True,True,3,8,0.9473684210526315,0.9,0.13157894736842105,0.9473684210526315
True,True,0,0,0.9487179487179487,0.9,0.1282051282051282,0.9487179487179487
True,True,1,4,0.95,0.9,0.125,0.95
True,True,3,8,0.9512195121951219,0.9,0.12195121951219512,0.9512195121951219
True,True,1,4,0.9523809523809523,0.9,0.11904761904761904,0.9523809523809523
True,True,7,5,0.9534883720930233,0.9,0.11627906976744186,0.9534883720930233
